C
CS1#cnt,CS2#cnt,CS1#c,CS2#c,CS1#pb,CS2#pb
Time,Item,Value
21450,3,634.026217
21460,3,633.848904
21470,1,8
,3,621.070544
21480,3,612.0
22250,1,9
,3,792.0
22270,3,789.512957
22280,3,786.850262
22290,3,784.227508
22300,3,781.19246
22310,3,777.773303
22320,3,774.400856
22330,3,771.074462
22340,3,767.793477
22350,3,764.557261
22360,3,761.365187
22370,3,758.216636
22380,3,755.110998
22390,1,10
,3,841.917028
22400,3,838.626967
22410,3,835.379378
22420,3,832.173677
22430,3,829.00929
22440,3,825.885651
22450,3,822.802202
22460,3,819.758392
22470,3,816.753679
22480,3,813.787527
22490,3,810.85941
22500,3,807.968808
22510,3,805.115209
22520,3,802.298106
22530,3,799.517002
22540,3,796.771407
22550,3,794.060835
22560,3,791.384811
22570,3,788.742863
22580,3,786.134527
22590,3,783.559347
22600,3,781.016871
22610,3,778.506656
22620,3,776.028262
22630,3,773.581259
22640,3,771.16522
22650,3,768.779725
22660,3,766.42436
22670,3,764.098718
22680,3,761.802395
22690,3,759.534996
22700,1,11
,3,757.296129
22710,3,755.085408
22720,3,752.902454
22730,3,750.746891
22740,3,748.61835
22750,3,746.460997
22760,3,743.951154
22770,3,741.470751
22780,3,739.01941
22790,3,736.596759
22800,3,734.202432
22810,3,731.836066
22820,3,729.497303
22830,3,727.185792
22840,3,724.901184
22850,3,722.643137
22860,1,10
,3,699.142798
22870,3,700.524404
22880,3,699.419241
22890,3,698.323186
22900,3,697.236158
22910,3,696.15808
22920,3,695.088875
22930,3,694.028468
22940,3,692.976781
22950,3,691.93374
22960,3,690.899271
22970,3,689.8733
22980,3,688.855754
22990,3,687.84656
23000,3,686.845647
23010,3,685.852943
23020,3,684.868379
23030,3,683.891884
23040,3,682.923389
23050,3,681.962826
23060,3,681.010125
23070,3,680.065221
23080,3,679.128046
23090,3,678.198533
23100,3,677.276618
23110,3,676.362235
23120,3,675.45532
23130,3,674.555808
23140,3,673.663637
23150,1,11
,3,672.778744
23160,3,671.901066
23170,3,671.030541
23180,3,670.167109
23190,3,669.310709
23200,3,668.077794
23210,3,666.803661
23220,1,10
,3,660.357222
23230,3,718.336902
23240,3,717.444562
23250,3,716.558864
23260,3,715.679757
23270,3,714.807192
23280,3,713.941118
23290,3,713.081485
23300,3,712.228245
23310,3,711.381348
23320,3,710.540746
23330,1,11
,3,709.364384
23340,3,708.144616
23350,3,706.933447
23360,3,705.730817
23370,3,704.536661
23380,3,703.35092
23390,3,702.173532
23400,3,701.004437
23410,3,699.843574
23420,3,698.690885
23430,3,697.546311
23440,3,696.220927
23450,3,694.65922
23460,3,693.108941
23470,3,691.570002
23480,3,690.042321
23490,3,688.525811
23500,3,687.02039
23510,3,685.525975
23520,3,684.042484
23530,3,682.569835
23540,3,681.107947
23550,3,679.65674
23560,3,675.731989
23570,3,671.639166
23580,3,667.596728
23590,3,663.603997
23600,3,659.660305
23610,3,655.764995
23620,3,651.917418
23630,3,648.116934
23640,3,644.362913
23650,3,640.654733
23660,3,636.99178
23670,3,633.373452
23680,3,629.799152
23690,0,1
,2,54.0
,3,626.268293
23700,3,622.502842
23710,0,2
,2,234.0
,3,618.66512
23720,0,3
,2,324.0
,3,614.871576
23730,3,611.121639
23740,3,607.414748
23750,3,603.750348
23760,3,600.127893
23770,3,596.546842
23780,3,593.006663
23790,3,589.506834
23800,3,586.046835
23810,3,582.626157
23820,3,579.244297
23830,3,575.900759
23840,3,572.595053
23850,3,569.326696
23860,3,566.095214
23870,3,562.900136
23880,1,10
,3,543.260696
23890,3,715.150015
23900,3,712.234211
23910,3,709.351606
23920,3,706.501774
23930,3,703.684293
23940,3,700.898748
23950,3,698.14473
23960,3,695.421834
23970,3,692.729664
23980,3,690.067825
23990,3,687.435932
24000,3,684.833602
24010,3,682.260458
24020,3,679.716129
24030,3,677.200248
24040,3,674.712455
24050,3,672.252393
24060,3,669.81971
24070,3,667.414061
24080,3,665.035102
24090,3,662.682498
24100,3,660.355915
24110,3,658.055025
24120,3,655.779505
24130,3,653.529036
24140,3,651.303303
24150,1,9
,3,627.911524
24160,3,575.242666
24170,3,574.164529
24180,3,573.093782
24190,3,572.030376
24200,3,570.974257
24210,1,8
,3,568.315267
24220,3,547.291702
24230,1,9
,3,726.364742
24240,3,725.444332
24250,3,724.530424
24260,3,723.622972
24270,3,722.721929
24280,3,721.827249
24290,3,720.938887
24300,3,720.056797
24310,3,719.180934
24320,1,8
,3,707.125562
24330,3,695.937758
24340,3,695.253467
24350,3,694.573834
24360,3,693.898824
24370,3,693.228407
24380,3,692.562551
24390,3,691.901224
24400,3,691.244396
24410,1,9
,3,744.592034
24420,3,743.944108
24430,3,743.300588
24440,3,742.661443
24450,3,742.026644
24460,3,741.396159
24470,3,740.769959
24480,3,740.148015
24490,3,739.530297
24500,3,738.916777
24510,3,738.307424
24520,3,736.94554
24530,3,735.472921
24540,3,734.012896
24550,3,732.565353
24560,1,8
,3,729.643567
24570,3,708.119242
24580,3,706.882274
24590,1,9
,3,768.655954
24600,3,767.440187
24610,3,766.23488
24620,3,765.039938
24630,3,763.85527
24640,3,762.680783
24650,3,761.516387
24660,3,760.361993
24670,3,759.21751
24680,3,758.082851
24690,3,756.957928
24700,3,755.842654
24710,3,754.736944
24720,3,753.640712
24730,3,752.553875
24740,3,751.476348
24750,3,750.40805
24760,3,749.348897
24770,3,748.298808
24780,1,8
,3,729.089207
24790,3,721.139057
24800,3,720.272472
24810,3,719.413654
24820,3,718.562532
24830,3,717.719034
24840,3,716.88309
24850,3,716.054632
24860,3,715.233589
24870,3,714.419895
24880,3,713.61348
24890,3,712.814279
24900,3,712.022225
24910,3,711.237252
24920,3,710.459296
24930,3,709.688291
24940,3,708.924175
24950,3,708.166883
24960,1,9
,3,761.416353
24970,3,760.672523
24980,3,759.935331
24990,3,759.204717
25000,2,321.73119
,3,758.48062
25010,2,319.065222
,3,757.762981
25020,2,316.439244
,3,757.05174
25030,2,313.852655
,3,756.346838
25040,2,311.304865
,3,755.648218
25050,2,308.795292
,3,754.955822
25060,2,306.323363
,3,754.269592
25070,2,303.888513
,3,753.589473
25080,2,301.490185
,3,752.915408
25090,2,299.127832
,3,752.247341
25100,2,296.800915
,3,749.101198
25110,2,294.508901
,3,745.782226
25120,2,292.251267
,3,742.50903
25130,1,10
,2,290.027498
,3,919.280959
25140,1,11
,2,287.837086
,3,915.773434
25150,1,10
,2,285.67953
,3,897.724815
25160,2,283.554337
,3,936.681945
25170,2,281.461022
,3,932.926262
25180,2,279.399106
,3,929.219985
25190,2,277.36812
,3,925.562441
25200,2,275.367598
,3,921.952966
25210,2,273.397084
,3,918.390905
25220,2,271.456128
,3,914.875612
25230,2,269.544286
,3,911.406451
25240,2,267.661121
,3,907.982795
25250,2,265.806205
,3,904.604024
25260,2,263.979112
,3,901.160537
25270,2,262.179425
,3,897.435889
25280,2,260.406734
,3,893.757813
25290,2,258.660633
,3,890.125698
25300,2,256.940723
,3,886.538939
25310,2,255.246612
,3,882.996939
25320,2,253.577913
,3,879.49911
25330,2,251.934244
,3,876.044872
25340,2,250.315231
,3,872.633653
25350,2,248.720502
,3,869.264889
25360,2,247.149695
,3,865.938023
25370,2,245.602449
,3,862.652505
25380,2,244.078413
,3,859.407796
25390,2,242.577236
,3,856.203359
25400,2,241.098578
,3,853.038669
25410,2,239.642099
,3,849.913207
25420,2,238.207468
,3,846.826458
25430,2,236.794356
,3,843.777918
25440,1,9
,2,235.40244
,3,823.044822
25450,2,234.031404
,3,801.966546
25460,2,232.680933
,3,799.37954
25470,2,231.350719
,3,796.825372
25480,2,230.040458
,3,794.303602
25490,1,10
,2,228.749851
,3,854.813799
25500,2,227.478603
,3,852.355536
25510,2,226.226424
,3,849.928391
25520,2,224.993028
,3,847.531951
25530,2,223.778132
,3,845.165805
25540,2,222.58146
,3,842.829552
25550,2,221.402738
,3,840.522791
25560,2,220.241697
,3,835.7552
25570,2,219.098072
,3,830.843605
25580,2,217.971601
,3,826.000282
25590,0,2
,2,201.468458
,3,821.224256
25600,2,144.0
,3,816.514565
25610,3,811.870264
25620,3,807.290418
25630,3,802.774107
25640,3,798.320425
25650,3,793.928478
25660,3,789.597387
25670,3,785.326283
25680,3,781.114312
25690,1,9
,3,755.773489
25700,3,701.182216
25710,3,698.217869
25720,3,695.293229
25730,3,692.407742
25740,3,689.560865
25750,3,686.752059
25760,3,683.980796
25770,3,681.246553
25780,3,678.548817
25790,3,675.88708
25800,3,673.260843
25810,3,670.669613
25820,2,143.376315
,3,668.112903
25830,2,142.503499
,3,665.590237
25840,2,141.639207
