C
B0#Pd,B1#Pd,B2#Pd,B0#Qd,B1#Qd,B2#Qd,B0#V,B1#V,B2#V,B0#Pg,B1#Pg,B0#Qg,B1#Qg,totPd,totQd,totPg,totQg
Time,Item,Value
20000,2,4.806865
,D,15.006865
20010,2,4.800898
,D,15.000898
20020,2,4.795015
,D,14.995015
20030,2,4.789213
,D,14.989213
20040,2,4.783492
,D,14.983492
20050,2,4.77785
,D,14.97785
20060,2,4.772287
,D,14.972287
20070,2,4.766801
,D,14.966801
20080,2,4.761391
,D,14.961391
20090,2,4.756057
,D,14.956057
20100,2,4.750796
,D,14.950796
20110,2,4.745608
,7,9.997151
,8,9.996307
,9,9.019082
,A,9.839424
,D,14.945608
,F,18.858507
20120,2,4.740492
,D,14.940492
20130,2,4.735446
,D,14.935446
20140,2,4.730471
,D,14.930471
20150,2,4.725565
,D,14.925565
20160,2,4.720207
,D,14.920207
20170,2,4.714562
,D,14.914562
20180,2,4.708991
,D,14.908991
20190,2,4.703493
,D,14.903493
20200,2,4.698067
,D,14.898067
20210,2,4.692714
,D,14.892714
20220,2,4.68743
,D,14.88743
20230,2,4.682216
,D,14.882216
20240,2,4.677071
,D,14.877071
20250,2,4.671993
,D,14.871993
20260,2,4.666982
,D,14.866982
20270,2,4.662036
,D,14.862036
20280,2,4.657156
,D,14.857156
20290,2,4.652339
,D,14.852339
20300,2,4.647586
,D,14.847586
20310,2,4.640408
,D,14.840408
20320,2,4.633116
,D,14.833116
20330,2,4.625923
,D,14.825923
20340,2,4.61883
,D,14.81883
20350,2,4.611423
,D,14.811423
20360,2,4.604092
,D,14.804092
20370,2,4.59686
,D,14.79686
20380,2,4.589725
,D,14.789725
20390,2,4.582685
,D,14.782685
20400,2,4.57574
,D,14.77574
20410,2,4.568888
,7,9.997089
,8,9.996412
,9,8.921582
,A,9.761732
,D,14.768888
,F,18.683314
20420,2,4.562127
,D,14.762127
20430,2,4.555457
,D,14.755457
20440,2,4.548876
,D,14.748876
20450,2,4.632383
,D,14.832383
20460,2,4.625977
